id,year,month,title,series,thumbnail,writer,penciler,inker,letterer,description,grade,CGC
11428,1966,7,Tales to Astonish  #81,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/536d4a524a0cf/portrait_uncanny.jpg,Stan Lee,"Bill Everett, Jack Kirby",,Sam Rosen,The Secret Empire has hired Boomerang for a very special job...,1.5,
8162,1966,7,Daredevil  #18,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/5722190da053d/portrait_uncanny.jpg,Stan Lee,John Romita Sr.,Frank Giacoia,Sam Rosen,"Foggy's bravado reaches a new low as he continues to tell Karen Page that he is Daredevil. After having a Daredevil costume made in his size, Foggy agrees to a mock battle with the costume's designer. Foggy and Karen's date goes horribly awry when the mock battle turns into a fight to the death! Will the real Daredevil step in to save his colleagues? Introducing the Gladiator!",2.5,
12469,1966,7,Uncanny X-Men  #22,Uncanny X-Men,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/58a20f540551c/portrait_uncanny.jpg,Roy Thomas,Werner Roth,Dick Ayers,Art Simek,"The X-Men test their mettle against the robot Colosso, but are lured into a trap by some of Marveldom's earliest super villains! What does Count Nefaria have in mind for them, and for the Maggia?",5.5,
13259,1966,8,Fantastic Four  #53,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/5/b0/5ab010b689a16/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Art Simek,"The First Appearance of Klaw!  Black Panther explains Wakanda's unique history to the FF. Famed for their reservoirs of the rare and near-indestructible metal Vibranium, Wakanda has secluded itself from civilization to protect their precious ores. The origin story of Black Panther, King of Wakanda!",7,
11459,1966,8,Thor  #131,Thor,http://i.annihil.us/u/prod/marvel/i/mg/9/70/4f675c90b23af/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,Art Simek,"Who is Tana Nile? Is she a mysterious, mortal woman...or a creature from beyond? Thor had better gain some answers quickly- especially when Jane Foster's future is at stake!",4.5,
11069,1966,8,Strange Tales  #147,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/6643747c4c9b0/portrait_uncanny.jpg,"Stan Lee, Dennis O'neil","Don Heck, Jack Kirby","Mike Esposito, Bill Everett",Sam Rosen,Is A.I.M. as advanced as they claim to be? Nick Fury suspects otherwise after thwarting an attack from some of their goons. Doctor Strange faces a struggle from the earthly realm- getting the Sanctum Sanctorum up to city code!,4.5,
11069,1966,8,Strange Tales  #147,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/6643747c4c9b0/portrait_uncanny.jpg,"Stan Lee, Dennis O'neil","Don Heck, Jack Kirby","Mike Esposito, Bill Everett",Sam Rosen,Is A.I.M. as advanced as they claim to be? Nick Fury suspects otherwise after thwarting an attack from some of their goons. Doctor Strange faces a struggle from the earthly realm- getting the Sanctum Sanctorum up to city code!,4.5,
11429,1966,8,Tales to Astonish  #82,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/3/40/536d45c41716b/portrait_uncanny.jpg,"Stan Lee, Roy Thomas","Gene Colan, Bill Everett, Jack Kirby",Dick Ayers,Art Simek,The Sub-Mariner has come to seek revenge against Iron Man for interfering in his quest to get revenge on Lady Dorma!,1.5,
12470,1966,8,Uncanny X-Men  #23,Uncanny X-Men,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/58a21f53872e8/portrait_uncanny.jpg,Roy Thomas,Werner Roth,Dick Ayers,Art Simek,"Framed for extorting Washington, D.C., the X-Men must capitalize on dissension in the Maggia's ranks! Meanwhile, a mysterious figure invades Count Nefaria's command center!",3.5,
11460,1966,9,Thor  #132,Thor,http://i.annihil.us/u/prod/marvel/i/mg/1/00/4f675d4475056/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,Sam Rosen,"The God of Thunder is careening towards the planet Rigel, intent on saving Earth from the usurping Tana Nile. But Thor's mission is soon derailed...by the might of Ego! Introducing one of Marvel's strangest players yet!",7,
8185,1966,9,Daredevil  #20,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/9/00/57221af3dec08/portrait_uncanny.jpg,Stan Lee,Gene Colan,Frank Giacoia,Art Simek,Matt Murdock captured by the Owl! Why is the Owl insisting on a mock trial for Judge Lewis? And will Matt Murdock be able to uphold justice in the face of villainy? Daredevil's secret identity nearly revealed!,2.5,
12471,1966,9,Uncanny X-Men  #24,Uncanny X-Men,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/58a220a71b870/portrait_uncanny.jpg,Roy Thomas,Werner Roth,Dick Ayers,Sam Rosen,"There are plenty of mad scientists in the Marvel Universe, but few buggier than the Locust! Will his giant insects cut the X-Men down to size?",7,
7208,1966,10,Avengers  #33,Avengers,http://i.annihil.us/u/prod/marvel/i/mg/3/04/4e8f4b8e48ced/portrait_uncanny.jpg,,,,,None,5.5,
13261,1966,10,Fantastic Four  #55,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/9/00/51b63a3309eed/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,,"While Reed and Sue make good on their honeymoon, Johnny and Wyatt Wingfoot have a strange encounter with the Silver Surfer! What has brought Galactus' herald to the heights of the Himalayans? Plus, the Thing becomes jealous of Silver Surfer, when he suspects the cosmic being has been making moves on Alicia!",7,
11461,1966,10,Thor  #133,Thor,http://i.annihil.us/u/prod/marvel/i/mg/c/30/4f6761db4bdb2/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek","Of all the wonders in Asgard, none can compare to the strangeness of...Ego the Living Planet! Will Hulk win over Ego to save Earth from Tana Nile? Meanwhile, Jane Foster gets a teaching offer from a dubious employer.",7,
11071,1966,10,Strange Tales  #149,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4c7c361956bf4/portrait_uncanny.jpg,,,,,"Gabe Jones shows off his impressive undercover work with A.I.M.  Plus, the identity of 'THEM'! Doctor Strange summons the Eye of Agamotto in battle with Kaluu. The NYPD joins the fray when the Sanctum's mystical barriers fall down!",3.5,
